frame, time,Joint1: JointValue (degree),Joint2: JointValue (degree),Joint1: JointVel (degree/s),Joint1: GenForce (N.m),Joint1: JointAccl (degree/s^2),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint2: JointVel (degree/s)
1,0,60,-45,0,12.09536618,0,0,4.737866178,0
2,0.01,59.99995065,-44.99996299,-0.014803189,11.99934586,-2.960394299,2.220295724,4.715293121,0.011102392
3,0.02,59.99960529,-44.99970397,-0.059198147,11.90348727,-5.917867046,4.438400285,4.692743487,0.04439861
4,0.03,59.9986682,-44.99900115,-0.133141062,11.80795119,-8.869499573,6.65212468,4.670239895,0.099855796
5,0.04,59.99684422,-44.99763316,-0.236558961,11.71289717,-11.81237897,8.859284231,4.647804082,0.17741922
6,0.05,59.9938391,-44.99537933,-0.369349782,11.61848342,-14.74360098,11.05770074,4.625456884,0.277012337
7,0.06,59.98935975,-44.99201981,-0.531382478,11.52486667,-17.66027284,13.24520463,4.603218231,0.398536859
8,0.07,59.98311451,-44.98733588,-0.722497142,11.43220198,-20.55951614,15.4196371,4.581107144,0.541872856
9,0.08,59.97481349,-44.98111012,-0.942505166,11.34064264,-23.43846968,17.57885226,4.559141739,0.706878875
10,0.09,59.96416882,-44.97312661,-1.19118943,11.25034,-26.29429227,19.72071921,4.537339234,0.893392072
11,0.1,59.95089493,-44.9631712,-1.468304511,11.16144337,-29.12416558,21.84312419,4.51571596,1.101228383
12,0.11,59.93470887,-44.95103165,-1.773576931,11.07409989,-31.92529685,23.94397264,4.494287377,1.330182699
13,0.12,59.91533053,-44.9364979,-2.106705423,10.98845435,-34.69492171,26.02119128,4.473068102,1.580029068
14,0.13,59.892483,-44.91936225,-2.467361229,10.90464915,-37.43030687,28.07273015,4.452071924,1.850520922
15,0.14,59.86589274,-44.89941955,-2.855188426,10.82282414,-40.12875283,30.09656462,4.431311846,2.14139132
16,0.15,59.83528993,-44.87646745,-3.269804274,10.74311652,-42.78759656,32.09069742,4.410800113,2.452353206
17,0.16,59.80040872,-44.85030654,-3.710799599,10.66566072,-45.4042141,34.05316058,4.390548252,2.783099699
18,0.17,59.76098745,-44.82074059,-4.17773919,10.59058833,-47.97602316,35.98201737,4.370567115,3.133304392
19,0.18,59.71676898,-44.78757674,-4.670162235,10.51802798,-50.50048568,37.87536426,4.350866925,3.502621676
20,0.19,59.66750088,-44.75062566,-5.187582772,10.44810526,-52.97511032,39.73133274,4.331457326,3.890687079
21,0.2,59.6129357,-44.70970178,-5.729490169,10.38094262,-55.39745491,41.54809119,4.312347436,4.297117627
22,0.21,59.55283123,-44.66462343,-6.295349629,10.3166593,-57.76512891,43.32384668,4.2935459,4.721512222
23,0.22,59.48695073,-44.61521305,-6.884602717,10.25537126,-60.0757957,45.05684678,4.275060946,5.163452038
24,0.23,59.41506314,-44.56129735,-7.496667911,10.19719105,-62.32717493,46.7453812,4.256900449,5.622500933
25,0.24,59.33694334,-44.50270751,-8.130941177,10.14222784,-64.51704477,48.38778358,4.23907199,6.098205883
26,0.25,59.25237237,-44.43927928,-8.786796564,10.09058723,-66.64324407,49.98243305,4.221582916,6.590097423
27,0.26,59.16113762,-44.37085322,-9.463586822,10.0423713,-68.70367454,51.5277559,4.204440403,7.097690117
28,0.27,59.06303308,-44.29727481,-10.16064404,9.997678473,-70.69630277,53.02222708,4.187651522,7.62048303
29,0.28,58.95785948,-44.21839461,-10.87728031,9.956603475,-72.61916229,54.46437172,4.171223298,8.157960231
30,0.29,58.84542456,-44.13406842,-11.61278839,9.919237296,-74.47035546,55.8527666,4.155162777,8.709591293
31,0.3,58.72554322,-44.04415742,-12.36644243,9.885667123,-76.24805538,57.18604154,4.139477084,9.274831823
32,0.31,58.5980377,-43.94852828,-13.13749866,9.855976292,-77.95050768,58.46288076,4.124173483,9.853123998
33,0.32,58.46273778,-43.84705333,-13.92519615,9.830244237,-79.57603224,59.68202418,4.109259436,10.44389711
34,0.33,58.3194809,-43.73961067,-14.72875753,9.808546442,-81.12302486,60.84226865,4.094742661,11.04656815
35,0.34,58.16811239,-43.62608429,-15.54738978,9.790954398,-82.58995885,61.94246914,4.080631182,11.66054233
36,0.35,58.00848556,-43.50636417,-16.38028501,9.777535553,-83.97538652,62.98153989,4.066933381,12.28521376
37,0.36,57.84046188,-43.38034641,-17.22662125,9.768353272,-85.27794062,63.95845547,4.053658041,12.91996594
38,0.37,57.66391111,-43.24793334,-18.08556328,9.76346679,-86.4963357,64.87225177,4.040814395,13.56417246
39,0.38,57.47871142,-43.10903357,-18.95626342,9.762931169,-87.62936933,65.72202699,4.028412159,14.21719756
40,0.39,57.28474951,-42.96356214,-19.83786239,9.76679726,-88.67592335,66.50694251,4.016461565,14.87839679
41,0.4,57.08192074,-42.81144056,-20.72949017,9.775111652,-89.63496494,67.22622371,4.004973394,15.54711763
42,0.41,56.87012921,-42.65259691,-21.63026682,9.787916635,-90.50554765,67.87916073,3.993958995,16.22270011
43,0.42,56.64928787,-42.48696591,-22.53930339,9.805250158,-91.2868123,68.46510923,3.983430304,16.90447754
44,0.43,56.4193186,-42.31448895,-23.45570276,9.827145781,-91.97798789,68.98349092,3.973399857,17.59177707
45,0.44,56.18015229,-42.13511422,-24.37856056,9.853632637,-92.57839232,69.43379424,3.963880792,18.28392042
46,0.45,55.9317289,-41.94879667,-25.30696605,9.884735388,-93.08743305,69.81557478,3.954886852,18.98022454
47,0.46,55.67399753,-41.75549815,-26.24000299,9.920474178,-93.50460772,70.12845579,3.946432375,19.68000224
48,0.47,55.40691647,-41.55518735,-27.1767506,9.960864596,-93.82950463,70.37212847,3.938532281,20.38256295
49,0.48,55.13045323,-41.34783992,-28.11628441,10.00591763,-94.06180314,70.54635236,3.931202053,21.08721331
50,0.49,54.84458458,-41.13343844,-29.05767723,10.05563961,-94.20127402,70.65095551,3.924457707,21.79325792
51,0.5,54.54929659,-40.91197244,-30,10.11003221,-94.24777961,70.68583471,3.918315762,22.5
52,0.51,54.24458458,-40.68343844,-30.94232277,10.16909234,-94.20127402,70.65095551,3.912793193,23.20674208
53,0.52,53.93045323,-40.44783992,-31.88371559,10.23281216,-94.06180314,70.54635236,3.907907393,23.91278669
54,0.53,53.60691647,-40.20518735,-32.8232494,10.30117901,-93.82950463,70.37212847,3.903676111,24.61743705
55,0.54,53.27399753,-39.95549815,-33.75999701,10.37417539,-93.50460772,70.12845579,3.900117396,25.31999776
56,0.55,52.9317289,-39.69879667,-34.69303395,10.4517789,-93.08743305,69.81557478,3.897249532,26.01977546
57,0.56,52.58015229,-39.43511422,-35.62143944,10.53396224,-92.57839232,69.43379424,3.895090963,26.71607958
58,0.57,52.2193186,-39.16448895,-36.54429724,10.62069314,-91.97798789,68.98349092,3.893660219,27.40822293
59,0.58,51.84928787,-38.88696591,-37.46069661,10.71193436,-91.2868123,68.46510923,3.892975832,28.09552246
60,0.59,51.47012921,-38.60259691,-38.36973318,10.80764363,-90.50554765,67.87916073,3.893056249,28.77729989
61,0.6,51.08192074,-38.31144056,-39.27050983,10.90777369,-89.63496494,67.22622371,3.893919738,29.45288237
62,0.61,50.68474951,-38.01356214,-40.16213761,11.0122722,-88.67592335,66.50694251,3.895584297,30.12160321
63,0.62,50.27871142,-37.70903357,-41.04373658,11.12108177,-87.62936933,65.72202699,3.898067553,30.78280244
64,0.63,49.86391111,-37.39793334,-41.91443672,11.23413995,-86.4963357,64.87225177,3.901386659,31.43582754
65,0.64,49.44046188,-37.08034641,-42.77337875,11.35137923,-85.27794062,63.95845547,3.905558188,32.08003406
66,0.65,49.00848556,-36.75636417,-43.61971499,11.47272704,-83.97538652,62.98153989,3.910598034,32.71478624
67,0.66,48.56811239,-36.42608429,-44.45261022,11.59810576,-82.58995885,61.94246914,3.916521297,33.33945767
68,0.67,48.1194809,-36.08961067,-45.27124247,11.72743273,-81.12302486,60.84226865,3.923342178,33.95343185
69,0.68,47.66273778,-35.74705333,-46.07480385,11.86062034,-79.57603224,59.68202418,3.931073873,34.55610289
70,0.69,47.1980377,-35.39852828,-46.86250134,11.99757598,-77.95050768,58.46288076,3.939728465,35.146876
71,0.7,46.72554322,-35.04415742,-47.63355757,12.13820215,-76.24805538,57.18604154,3.949316815,35.72516818
72,0.71,46.24542456,-34.68406842,-48.38721161,12.28239649,-74.47035546,55.8527666,3.959848466,36.29040871
73,0.72,45.75785948,-34.31839461,-49.12271969,12.43005187,-72.61916229,54.46437172,3.971331533,36.84203977
74,0.73,45.26303308,-33.94727481,-49.83935596,12.58105643,-70.69630277,53.02222708,3.983772613,37.37951697
75,0.74,44.76113762,-33.57085322,-50.53641318,12.73529372,-68.70367454,51.5277559,3.997176688,37.90230988
76,0.75,44.25237237,-33.18927928,-51.21320344,12.89264274,-66.64324407,49.98243305,4.011547038,38.40990258
77,0.76,43.73694334,-32.80270751,-51.86905882,13.0529781,-64.51704477,48.38778358,4.026885156,38.90179412
78,0.77,43.21506314,-32.41129735,-52.50333209,13.21617012,-62.32717493,46.7453812,4.043190672,39.37749907
79,0.78,42.68695073,-32.01521305,-53.11539728,13.38208496,-60.0757957,45.05684678,4.060461282,39.83654796
80,0.79,42.15283123,-31.61462343,-53.70465037,13.55058479,-57.76512891,43.32384668,4.078692683,40.27848778
